scope | path | size | sha256
nupkg | CI.Microsoft.Terminal.Wpf.1.25.260303002.nupkg | 56276025 | 3E639A019607432552F8BB3385B51D065FF8CB19608D4C7E17528C9481A10545
package | .signature.p7s | 12995 | 671B39E0668E27ACD2C38D1CCEF2449A42D12DF76175CAD2B7D66F200C0FEF81
package | [Content_Types].xml | 591 | 1E3DF188FEC9952EC2B4CB54A2C276056396A7569C014946A0ACF35A1DD069C0
package | CI.Microsoft.Terminal.Wpf.nuspec | 774 | 6602E16D51CB4E49A52FB6B7B7C20B067C1C077E8A65DDD3A1387714A4E04072
package | lib/net472/Microsoft.Terminal.Wpf.dll | 33312 | 61BC851FCA6E28AC9E0BDCEC9A836BC54D684E4B7CF49C68F91B8835AE9F3BF2
package | lib/net472/Microsoft.Terminal.Wpf.xml | 27650 | 15C5CCCA7B6BB611C06DBB09C51256232BE63C6EF7C3C601843C986483533777
package | lib/net8.0-windows7.0/Microsoft.Terminal.Wpf.dll | 33312 | 0405F2AF347D5F57135800F79DB322048D768A56B099525B786B2E12D20FB445
package | lib/net8.0-windows7.0/Microsoft.Terminal.Wpf.xml | 27650 | 15C5CCCA7B6BB611C06DBB09C51256232BE63C6EF7C3C601843C986483533777
package | package/services/metadata/core-properties/b480f052bc0d479f8966ccd5d63d4f87.psmdcp | 713 | EF31881F3FCDE03941A8C6D062F58B9A2390AB1705A09246B71AA10D5EB14251
package | runtimes/win-arm64/native/Microsoft.Terminal.Control.dll | 1927752 | 9769A85590A4A337F1860440BC2076C7710E2EC021F67B32D26FE36AC7F153F1
package | runtimes/win-arm64/native/Microsoft.Terminal.Control.pdb | 84824064 | 6A017B606F3F297039D42B220CD0F3D5B38FE3F7FD08F8CDFAE6A5DDE45FB451
package | runtimes/win-x64/native/Microsoft.Terminal.Control.dll | 1676832 | 37C26108DAD75C1F73784184CB34E8B14DE8AFF8F1053319E40AA47453476E5F
package | runtimes/win-x64/native/Microsoft.Terminal.Control.pdb | 85118976 | 373529C568B181CE5CE283C0EF457321444FF0DF8DF731B491BD5DCE7B856AE2
package | runtimes/win-x86/native/Microsoft.Terminal.Control.dll | 1624608 | CC575E24B32806A6E8D3A022022CC22E4179D9ABA6B8ACA217982A96D03A2DE3
package | runtimes/win-x86/native/Microsoft.Terminal.Control.pdb | 82702336 | 89FC6E86BE3D5E419EBA677ABFC50D97981F44FDD9950927BA95C5025D9514A2
package | _rels/.rels | 516 | 39AE168444A6FFE1C8572E97557C3863E5FCF7861084D775F62167E8FD6E003B
official-release-zip | Microsoft.WindowsTerminalPreview_1.25.622.0_x64.zip | 12107998 | BA5B75EB769E99221E68FE4BFB3580ED1ADE81F24B70334DE4CB4742EDF1B017
official-release-zip | terminal-1.25.622.0/Microsoft.Terminal.Control.dll | 1676832 | 37C26108DAD75C1F73784184CB34E8B14DE8AFF8F1053319E40AA47453476E5F
official-release-zip | terminal-1.25.622.0/NOTICE.html | 24362 | 9691413DFD4979A89D3A02853A7153FE5F40DF937CC817DD2715621EC8EA04EF
official-source | 9ae724aa5b080aafbeea2bbf88db630b182cc802/LICENSE | 1116 | 5D177F23ECFEB0EA8E050B6A5A16355E1AE9A0B286436CA8F83ED08B3795BE6B
official-source | 9ae724aa5b080aafbeea2bbf88db630b182cc802/NOTICE.md | 23176 | E7FBAADEE6AB20C28B87730A510EE5F5815D8FB4BD88D1D54D282DC2A74C072
